Month,Day,Rise,Set
1,1,2111,0640
1,2,2111,0641
1,3,2111,0642
1,4,2111,0643
1,5,2111,0644
1,6,2111,0644
1,7,2111,0645
1,8,2111,0646
1,9,2110,0647
1,10,2110,0648
1,11,2110,0649
1,12,2110,0650
1,13,2109,0651
1,14,2109,0652
1,15,2109,0653
1,16,2108,0654
1,17,2108,0655
1,18,2108,0657
1,19,2107,0658
1,20,2107,0659
1,21,2106,0700
1,22,2105,0701
1,23,2105,0702
1,24,2104,0703
1,25,2103,0704
1,26,2103,0706
1,27,2102,0707
1,28,2101,0708
1,29,2100,0709
1,30,2100,0710
1,31,2059,0711
2,1,2058,0712
2,2,2057,0714
2,3,2056,0715
2,4,2055,0716
2,5,2054,0717
2,6,2053,0718
2,7,2052,0719
2,8,2051,0721
2,9,2050,0722
2,10,2049,0723
2,11,2047,0724
2,12,2046,0725
2,13,2045,0726
2,14,2044,0727
2,15,2043,0729
2,16,2041,0730
2,17,2040,0731
2,18,2039,0732
2,19,2038,0733
2,20,2036,0734
2,21,2035,0735
2,22,2034,0736
2,23,2032,0737
2,24,2031,0739
2,25,2030,0740
2,26,2028,0741
2,27,2027,0742
2,28,2025,0743
3,1,2024,0744
3,2,2022,0745
3,3,2021,0746
3,4,2019,0747
3,5,2018,0748
3,6,2016,0749
3,7,2015,0750
3,8,2013,0751
3,9,2012,0752
3,10,2010,0753
3,11,2009,0754
3,12,2007,0755
3,13,2006,0756
3,14,2004,0757
3,15,2003,0758
3,16,2001,0759
3,17,2000,0800
3,18,1958,0801
3,19,1956,0802
3,20,1955,0803
3,21,1953,0804
3,22,1952,0805
3,23,1950,0806
3,24,1949,0807
3,25,1947,0808
3,26,1945,0809
3,27,1944,0810
3,28,1942,0811
3,29,1941,0812
3,30,1939,0813
3,31,1938,0814
4,1,1936,0815
4,2,1935,0816
4,3,1933,0817
4,4,1931,0818
4,5,1930,0819
4,6,1928,0820
4,7,1927,0821
4,8,1925,0822
4,9,1924,0822
4,10,1922,0823
4,11,1921,0824
4,12,1919,0825
4,13,1918,0826
4,14,1916,0827
4,15,1915,0828
4,16,1914,0829
4,17,1912,0830
4,18,1911,0831
4,19,1909,0832
4,20,1908,0833
4,21,1907,0834
4,22,1905,0835
4,23,1904,0836
4,24,1903,0837
4,25,1901,0838
4,26,1900,0839
4,27,1859,0840
4,28,1857,0841
4,29,1856,0842
4,30,1855,0843
5,1,1854,0844
5,2,1853,0845
5,3,1851,0846
5,4,1850,0847
5,5,1849,0848
5,6,1848,0849
5,7,1847,0850
5,8,1846,0850
5,9,1845,0851
5,10,1844,0852
5,11,1843,0853
5,12,1842,0854
5,13,1841,0855
5,14,1840,0856
5,15,1839,0857
5,16,1838,0858
5,17,1837,0859
5,18,1837,0900
5,19,1836,0901
5,20,1835,0901
5,21,1834,0902
5,22,1834,0903
5,23,1833,0904
5,24,1832,0905
5,25,1832,0906
5,26,1831,0906
5,27,1831,0907
5,28,1830,0908
5,29,1830,0909
5,30,1829,0909
5,31,1829,0910
6,1,1828,0911
6,2,1828,0912
6,3,1828,0912
6,4,1827,0913
6,5,1827,0914
6,6,1827,0914
6,7,1827,0915
6,8,1826,0915
6,9,1826,0916
6,10,1826,0916
6,11,1826,0917
6,12,1826,0917
6,13,1826,0918
6,14,1826,0918
6,15,1826,0919
6,16,1826,0919
6,17,1826,0919
6,18,1826,0920
6,19,1826,0920
6,20,1826,0920
6,21,1827,0920
6,22,1827,0920
6,23,1827,0921
6,24,1827,0921
6,25,1828,0921
6,26,1828,0921
6,27,1828,0921
6,28,1828,0921
6,29,1829,0921
6,30,1830,0921
7,1,1830,0921
7,2,1830,0921
7,3,1831,0921
7,4,1831,0921
7,5,1832,0921
7,6,1833,0921
7,7,1833,0920
7,8,1834,0920
7,9,1834,0920
7,10,1835,0919
7,11,1836,0919
7,12,1836,0919
7,13,1837,0918
7,14,1838,0918
7,15,1838,0917
7,16,1839,0917
7,17,1840,0916
7,18,1841,0916
7,19,1841,0915
7,20,1842,0914
7,21,1843,0914
7,22,1844,0913
7,23,1845,0912
7,24,1845,0912
7,25,1846,0911
7,26,1847,0910
7,27,1848,0909
7,28,1849,0908
7,29,1850,0907
7,30,1851,0907
7,31,1852,0905
8,1,1853,0904
8,2,1854,0903
8,3,1855,0902
8,4,1856,0901
8,5,1857,0859
8,6,1858,0858
8,7,1859,0857
8,8,1859,0856
8,9,1900,0855
8,10,1901,0854
8,11,1902,0852
8,12,1903,0851
8,13,1904,0850
8,14,1905,0849
8,15,1906,0847
8,16,1907,0846
8,17,1908,0845
8,18,1908,0843
8,19,1909,0842
8,20,1910,0841
8,21,1911,0839
8,22,1912,0838
8,23,1913,0837
8,24,1914,0835
8,25,1915,0834
8,26,1916,0832
8,27,1917,0831
8,28,1917,0829
8,29,1918,0828
8,30,1919,0826
8,31,1920,0825
9,1,1921,0823
9,2,1922,0822
9,3,1923,0820
9,4,1924,0819
9,5,1925,0817
9,6,1926,0815
9,7,1926,0814
9,8,1927,0812
9,9,1928,0811
9,10,1929,0809
9,11,1930,0808
9,12,1931,0806
9,13,1932,0804
9,14,1933,0803
9,15,1934,0801
9,16,1934,0800
9,17,1935,0758
9,18,1936,0756
9,19,1937,0755
9,20,1938,0753
9,21,1939,0752
9,22,1940,0750
9,23,1941,0748
9,24,1942,0747
9,25,1943,0745
9,26,1943,0744
9,27,1944,0742
9,28,1945,0740
9,29,1946,0739
9,30,1947,0737
10,1,1948,0736
10,2,1949,0734
10,3,1950,0732
10,4,1951,0731
10,5,1952,0729
10,6,1953,0728
10,7,1954,0726
10,8,1955,0725
10,9,1956,0723
10,10,1957,0722
10,11,1958,0720
10,12,1959,0719
10,13,2000,0717
10,14,2001,0716
10,15,2002,0714
10,16,2003,0713
10,17,2004,0711
10,18,2005,0710
10,19,2006,0709
10,20,2007,0707
10,21,2008,0706
10,22,2009,0705
10,23,2010,0703
10,24,2011,0702
10,25,2012,0701
10,26,2013,0659
10,27,2014,0658
10,28,2015,0657
10,29,2016,0656
10,30,2017,0654
10,31,2018,0653
11,1,2019,0652
11,2,2021,0651
11,3,2022,0650
11,4,2023,0649
11,5,2024,0648
11,6,2025,0647
11,7,2026,0646
11,8,2027,0645
11,9,2028,0644
11,10,2029,0643
11,11,2030,0642
11,12,2032,0641
11,13,2033,0640
11,14,2034,0639
11,15,2035,0639
11,16,2036,0638
11,17,2037,0637
11,18,2038,0636
11,19,2039,0636
11,20,2040,0635
11,21,2041,0635
11,22,2043,0634
11,23,2044,0633
11,24,2045,0633
11,25,2046,0632
11,26,2047,0632
11,27,2048,0632
11,28,2049,0631
11,29,2050,0631
11,30,2051,0631
12,1,2052,0630
12,2,2053,0630
12,3,2054,0630
12,4,2055,0630
12,5,2056,0630
12,6,2056,0630
12,7,2057,0630
12,8,2058,0630
12,9,2059,0630
12,10,2100,0630
12,11,2101,0630
12,12,2101,0630
12,13,2102,0630
12,14,2103,0630
12,15,2103,0631
12,16,2104,0631
12,17,2105,0631
12,18,2105,0632
12,19,2106,0632
12,20,2106,0632
12,21,2107,0633
12,22,2107,0633
12,23,2108,0634
12,24,2108,0634
12,25,2109,0635
12,26,2109,0636
12,27,2109,0636
12,28,2110,0637
12,29,2110,0638
12,30,2110,0638
12,31,2110,0639
